Episode,Steps,Return
399,17,14.979
400,40,38.162
401,40,35.576
402,40,35.05
403,13,10.913
404,13,11.61
405,12,9.599
406,40,36.783
407,12,10.179
408,23,21.629
409,40,31.179
410,17,14.213
411,24,21.145
412,24,21.25
413,40,31.818
414,10,7.32
415,36,29.916
416,40,31.853
417,40,33.118
418,19,15.813
419,40,33.752
420,40,36.395
421,40,29.019
422,23,17.551
423,40,29.286
424,33,27.345
425,39,29.885
426,9,7.017
427,20,15.685
428,36,31.076
429,27,22.629
430,40,31.267
431,16,13.182
432,40,33.164
433,40,29.986
434,15,10.913
435,40,33.451
436,10,8.518
437,13,11.179
438,40,28.92
439,40,36.116
440,40,34.817
441,25,22.542
442,18,16.361
443,40,30.417
444,14,9.649
445,31,23.746
446,20,18.095
447,14,12.511
448,27,22.468
449,19,16.863
450,29,24.045
451,30,26.309
452,8,7.179
453,18,15.529
454,40,30.954
455,27,19.712
456,10,8.578
457,40,30.287
458,40,29.086
459,40,30.315
460,14,12.512
461,39,32.981
462,8,6.412
463,24,22.416
464,40,33.018
465,40,30.554
466,12,10.679
467,33,27.217
468,9,6.945
469,40,31.653
470,40,33.418
471,40,28.92
472,16,14.712
473,40,28.885
474,32,24.687
475,40,29.62
476,19,16.776
477,40,31.354
478,30,24.585
479,40,32.214
480,15,11.267
481,40,34.518
482,19,14.886
483,40,35.183
484,40,32.286
485,8,6.645
486,40,31.001
487,20,16.046
488,40,30.08
489,21,17.682
490,40,36.349
491,40,29.12
492,36,29.018
493,40,31.45
494,24,17.946
495,3,1.882
496,40,35.463
497,17,13.899
498,40,31.41
499,27,23.727
500,40,30.253
501,40,30.886
502,23,18.902
503,40,33.332
504,11,9.511
505,40,32.049
506,40,30.551
507,40,28.52
508,22,17.846
509,40,30.513
510,38,29.944
511,14,11.749
512,12,10.096
513,24,17.48
514,40,30.865
515,40,33.416
516,40,30.885
517,40,35.082
518,40,33.879
519,40,30.42
520,40,34.384
521,40,34.246
522,40,31.85
523,40,32.551
524,40,31.751
525,40,36.376
526,9,7.166
527,40,32.683
528,40,32.017
529,40,29.498
530,40,30.554
531,25,20.096
532,40,32.152
533,15,12.946
534,40,31.985
535,22,18.785
536,40,31.718
537,21,16.434
538,30,22.02
539,10,8.345
540,28,22.484
541,23,17.546
542,21,18.312
543,40,32.618
544,40,32.252
545,40,31.053
546,35,25.786
547,25,19.485
548,19,16.186
549,40,31.352
550,40,32.067
551,40,33.779
552,40,31.82
553,40,29.02
554,40,30.42
555,40,32.783
556,40,30.953
557,40,29.585
558,40,30.502
559,40,31.052
560,40,30.62
561,40,33.751
562,6,4.632
563,40,31.453
564,26,19.749
565,40,30.319
566,40,29.886
567,40,28.187
568,40,32.548
569,40,31.652
570,40,29.92
571,40,32.85
572,40,34.981
573,40,32.719
574,40,31.052
575,34,27.443
576,13,11.511
577,40,29.519
578,40,31.465
579,40,34.885
580,40,30.654
581,8,6.196
582,12,9.879
583,40,33.12
584,38,27.852
585,40,31.42
586,40,31.433
587,40,31.586
588,40,28.886
589,40,31.152
590,40,26.986
591,40,32.63
592,40,32.918
593,34,26.079
594,39,29.153
595,40,29.019
596,22,18.982
597,40,29.886
598,40,30.519
599,38,32.574
600,40,30.02
601,40,32.384
602,40,35.68
603,25,19.578
604,9,7.465
605,40,31.419
